Produced: Tue Mar 05 16:01:04 2024
, Traffic Light ID: 2, Cars Passed: 18Produced: Tue Mar 05 16:01:04 2024
, Traffic Light ID: 1, Cars Passed: 20Produced: Tue Mar 05 16:01:05 2024
, Traffic Light ID: 4, Cars Passed: 9Produced: Tue Mar 05 16:01:06 2024
, Traffic Light ID: 5, Cars Passed: 6Produced: Tue Mar 05 16:01:06 2024
, Traffic Light ID: 2, Cars Passed: 28Produced: Tue Mar 05 16:01:08 2024
, Traffic Light ID: 2, Cars Passed: 46Produced: Tue Mar 05 16:01:09 2024
, Traffic Light ID: 3, Cars Passed: 37Produced: Tue Mar 05 16:01:09 2024
, Traffic Light ID: 5, Cars Passed: 3Produced: Tue Mar 05 16:01:09 2024
, Traffic Light ID: 3, Cars Passed: 33Produced: Tue Mar 05 16:01:10 2024
, Traffic Light ID: 2, Cars Passed: 19Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:11 2024
, Traffic Light ID: 3, Cars Passed: 27Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:12 2024
, Traffic Light ID: 4, Cars Passed: 20Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:13 2024
, Traffic Light ID: 3, Cars Passed: 50Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:13 2024
, Traffic Light ID: 5, Cars Passed: 4Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:14 2024
, Traffic Light ID: 3, Cars Passed: 34Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:15 2024
, Traffic Light ID: 5, Cars Passed: 42Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:16 2024
, Traffic Light ID: 4, Cars Passed: 19Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:16 2024
, Traffic Light ID: 5, Cars Passed: 13Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:17 2024
, Traffic Light ID: 3, Cars Passed: 10Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:18 2024
, Traffic Light ID: 2, Cars Passed: 30Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:19 2024
, Traffic Light ID: 2, Cars Passed: 36Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:19 2024
, Traffic Light ID: 3, Cars Passed: 39Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:19 2024
, Traffic Light ID: 1, Cars Passed: 43Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:20 2024
, Traffic Light ID: 4, Cars Passed: 47Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:21 2024
, Traffic Light ID: 1, Cars Passed: 30Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:21 2024
, Traffic Light ID: 1, Cars Passed: 7Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:21 2024
, Traffic Light ID: 4, Cars Passed: 49Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:22 2024
, Traffic Light ID: 4, Cars Passed: 35Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:23 2024
, Traffic Light ID: 2, Cars Passed: 41Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:24 2024
, Traffic Light ID: 2, Cars Passed: 32Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:25 2024
, Traffic Light ID: 5, Cars Passed: 40Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:25 2024
, Traffic Light ID: 4, Cars Passed: 38Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:26 2024
, Traffic Light ID: 4, Cars Passed: 33Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:27 2024
, Traffic Light ID: 2, Cars Passed: 34Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:27 2024
, Traffic Light ID: 5, Cars Passed: 9Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:28 2024
, Traffic Light ID: 1, Cars Passed: 28Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:28 2024
, Traffic Light ID: 4, Cars Passed: 37Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:29 2024
, Traffic Light ID: 1, Cars Passed: 25Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:29 2024
, Traffic Light ID: 1, Cars Passed: 30Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:30 2024
, Traffic Light ID: 4, Cars Passed: 48Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:30 2024
, Traffic Light ID: 2, Cars Passed: 41Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:31 2024
, Traffic Light ID: 2, Cars Passed: 6Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:31 2024
, Traffic Light ID: 1, Cars Passed: 25Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:32 2024
, Traffic Light ID: 3, Cars Passed: 1Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:32 2024
, Traffic Light ID: 2, Cars Passed: 25Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:33 2024
, Traffic Light ID: 1, Cars Passed: 8Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:33 2024
, Traffic Light ID: 3, Cars Passed: 38Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:34 2024
, Traffic Light ID: 3, Cars Passed: 4Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:34 2024
, Traffic Light ID: 1, Cars Passed: 10Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:35 2024
, Traffic Light ID: 4, Cars Passed: 22Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:35 2024
, Traffic Light ID: 3, Cars Passed: 47Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:36 2024
, Traffic Light ID: 1, Cars Passed: 14Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:36 2024
, Traffic Light ID: 1, Cars Passed: 42Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:37 2024
, Traffic Light ID: 1, Cars Passed: 11Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:38 2024
, Traffic Light ID: 5, Cars Passed: 38Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:38 2024
, Traffic Light ID: 4, Cars Passed: 46Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:38 2024
, Traffic Light ID: 3, Cars Passed: 1Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:39 2024
, Traffic Light ID: 2, Cars Passed: 25Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:39 2024
, Traffic Light ID: 2, Cars Passed: 22Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:39 2024
, Traffic Light ID: 5, Cars Passed: 19Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:40 2024
, Traffic Light ID: 2, Cars Passed: 35Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:40 2024
, Traffic Light ID: 5, Cars Passed: 19Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:41 2024
, Traffic Light ID: 1, Cars Passed: 39Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:41 2024
, Traffic Light ID: 3, Cars Passed: 29Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:42 2024
, Traffic Light ID: 4, Cars Passed: 34Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:43 2024
, Traffic Light ID: 2, Cars Passed: 11Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:44 2024
, Traffic Light ID: 4, Cars Passed: 15Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:44 2024
, Traffic Light ID: 2, Cars Passed: 36Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:45 2024
, Traffic Light ID: 1, Cars Passed: 50Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:46 2024
, Traffic Light ID: 2, Cars Passed: 49Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:46 2024
, Traffic Light ID: 5, Cars Passed: 9Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:47 2024
, Traffic Light ID: 5, Cars Passed: 40Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:48 2024
, Traffic Light ID: 1, Cars Passed: 36Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:48 2024
, Traffic Light ID: 4, Cars Passed: 24Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:49 2024
, Traffic Light ID: 5, Cars Passed: 4Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:49 2024
, Traffic Light ID: 1, Cars Passed: 9Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:50 2024
, Traffic Light ID: 1, Cars Passed: 47Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:51 2024
, Traffic Light ID: 2, Cars Passed: 40Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:52 2024
, Traffic Light ID: 5, Cars Passed: 8Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:52 2024
, Traffic Light ID: 3, Cars Passed: 39Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:53 2024
, Traffic Light ID: 4, Cars Passed: 30Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:53 2024
, Traffic Light ID: 3, Cars Passed: 9Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:53 2024
, Traffic Light ID: 1, Cars Passed: 39Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:54 2024
, Traffic Light ID: 2, Cars Passed: 3Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:54 2024
, Traffic Light ID: 3, Cars Passed: 6Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:55 2024
, Traffic Light ID: 2, Cars Passed: 13Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:56 2024
, Traffic Light ID: 1, Cars Passed: 34Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:57 2024
, Traffic Light ID: 3, Cars Passed: 45Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:57 2024
, Traffic Light ID: 2, Cars Passed: 49Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:58 2024
, Traffic Light ID: 2, Cars Passed: 22Buffer full, waiting to add data...Produced: Tue Mar 05 16:01:59 2024
, Traffic Light ID: 3, Cars Passed: 27Buffer full, waiting to add data...Produced: Tue Mar 05 16:02:00 2024
, Traffic Light ID: 5, Cars Passed: 26Buffer full, waiting to add data...Produced: Tue Mar 05 16:02:00 2024
, Traffic Light ID: 1, Cars Passed: 11Buffer full, waiting to add data...Produced: Tue Mar 05 16:02:01 2024
, Traffic Light ID: 5, Cars Passed: 12Buffer full, waiting to add data...Produced: Tue Mar 05 16:02:01 2024
, Traffic Light ID: 2, Cars Passed: 40Buffer full, waiting to add data...Produced: Tue Mar 05 16:02:02 2024
, Traffic Light ID: 4, Cars Passed: 3Buffer full, waiting to add data...Produced: Tue Mar 05 16:02:02 2024
